probabilidad_fraude,prediccion_fraude
6.280037817624789e-13,0
6.40756418320701e-19,0
4.337737958107565e-09,0
2.199449686972808e-06,0
0.3277364909106887,0
1.6745965002273254e-17,0
3.444764566125784e-21,0
7.693521812710504e-18,0
2.1187125948458692e-20,0
6.606201072794922e-10,0
4.451575637845806e-21,0
3.2854571861006335e-07,0
7.608774638685057e-16,0
1.8752040197244224e-05,0
1.839658586946439e-05,0
0.00015437558377571025,0
6.104069659754439e-08,0
2.7346756131380933e-22,0
1.4773670284393818e-15,0
8.860253264119882e-24,0
9.477206686514462e-16,0
2.610475672954263e-17,0
8.473490047661344e-08,0
6.701034050009408e-23,0
3.591656351601743e-14,0
6.038904289162152e-14,0
1.3496042110053403e-16,0
0.0034299750388947403,0
4.619693405352478e-13,0
6.173592718409064e-16,0
2.8603595594407014e-15,0
4.075007657883062e-14,0
1.7173038012407212e-12,0
1.979196301006853e-18,0
4.498477226895973e-12,0
6.696648176817634e-12,0
1.006270320591485e-12,0
7.791096338342521e-06,0
1.1619933880372553e-12,0
3.1298699594726273e-15,0
9.808011741394726e-19,0
1.0461089294827644e-13,0
6.843795326643388e-08,0
0.0037657909060934717,0
0.0004169053777521898,0
1.9110661494774346e-20,0
5.79437036244574e-16,0
1.3059232955155288e-20,0
1.1682908273368916e-11,0
3.351349553581929e-16,0
2.482564847816287e-19,0
2.1410918320312942e-16,0
1.379425411056328e-15,0
6.293995724882941e-16,0
6.27908807453446e-20,0
8.615063628502232e-19,0
3.1001703880249632e-15,0
8.363965675739648e-21,0
9.816242988833962e-16,0
4.3923867797616174e-15,0
2.3561366210090766e-20,0
3.53742025698708e-13,0
5.017966180158509e-11,0
7.525801200294851e-14,0
4.931410397172334e-17,0
1.3835707465866237e-13,0
2.1885447318424753e-20,0
1.0457185789961984e-21,0
2.8575833031770136e-12,0
1.084587149045408e-15,0
1.0318094093409015e-20,0
9.48398738671039e-23,0
1.1728452272498503e-23,0
7.468780488702834e-09,0
4.054392576556673e-13,0
5.309277296104809e-20,0
5.320850743251385e-09,0
1.633719084977405e-07,0
1.6657831639424325e-13,0
2.945621394416547e-18,0
3.1560668908448795e-21,0
2.20550388107819e-07,0
5.006874961344287e-18,0
1.163438547182411e-20,0
4.2952628460080573e-11,0
8.126782731292541e-09,0
3.195262913788246e-17,0
0.9983950581243747,1
1.634273670805147e-20,0
2.0341797193900774e-19,0
1.5513931559439914e-20,0
6.138155888917471e-20,0
2.2848924168531004e-16,0
1.3914234856341483e-14,0
1.8379441169667915e-24,0
5.302330980010829e-17,0
1.711894554540738e-11,0
2.5875146684627157e-19,0
7.284481177717355e-10,0
1.8165211624607528e-18,0
4.690392042990529e-21,0
3.6456163567483495e-08,0
2.501055526629828e-15,0
7.492961466919485e-13,0
8.774712148214626e-17,0
1.5254731091205083e-16,0
1.4297696691522738e-19,0
4.61915986000166e-15,0
7.693841771250282e-18,0
4.44039140297768e-19,0
5.571844007230245e-16,0
3.525042839257959e-18,0
6.662440047984401e-23,0
2.0192337956550605e-21,0
1.3966999790197534e-15,0
2.7442982045813304e-05,0
7.413348196645002e-05,0
9.277383710611052e-13,0
1.1301179894793452e-06,0
2.1014965767381725e-16,0
1.2704570867872835e-18,0
5.7518059680909586e-12,0
3.3732694961222096e-15,0
6.245158544393942e-18,0
7.664591297327461e-19,0
5.257367837713719e-18,0
2.140691876267266e-21,0
1.0234720335367279e-16,0
2.5570858819508933e-14,0
1.193822184154317e-18,0
5.191921813327083e-24,0
1.8030910140363898e-25,0
3.6202765952761833e-09,0
1.1269113015253568e-09,0
4.28485516036336e-21,0
7.705453893802761e-10,0
3.1984849933634617e-15,0
8.890124257179826e-18,0
7.883811322728367e-10,0
1.778742548265437e-22,0
3.303534856410627e-20,0
2.4367689958782524e-11,0
6.51074192583264e-11,0
2.0364900161103374e-10,0
5.053250762744896e-21,0
3.411485244139382e-17,0
8.853112557687903e-17,0
1.848508104896273e-05,0
1.46995616408881e-21,0
9.178452340492802e-16,0
1.5867973518470703e-14,0
1.2179998272212593e-08,0
3.762622435733634e-12,0
1.9527147163060692e-10,0
2.9620728904303134e-17,0
9.64722559048429e-15,0
2.120675009538154e-19,0
7.452763344587589e-28,0
2.9470015836381425e-11,0
1.930596939279489e-15,0
1.1362872073327523e-14,0
1.7139749105045994e-17,0
0.0030883868399299882,0
6.865020362221999e-19,0
1.9702904054861184e-06,0
2.6524742029334157e-19,0
3.220383403100895e-24,0
1.7596406141501303e-09,0
2.6812859080691187e-15,0
9.134361708879081e-22,0
2.2461983147133095e-08,0
7.682559121731458e-22,0
0.00045631719213044955,0
9.713159841516832e-25,0
1.0065414484035504e-12,0
1.9018307312416378e-10,0
3.401320949544642e-11,0
2.419941624441414e-09,0
6.013913525011254e-14,0
1.60411845232719e-23,0
7.45709855175116e-23,0
1.7454321339969343e-17,0
0.0015295152098415083,0
4.084062080988443e-05,0
3.3454148409919057e-12,0
1.8362486810576938e-20,0
2.1539362064266073e-20,0
2.890916585796087e-20,0
5.124415712586546e-12,0
8.94579614913552e-22,0
5.859053089846218e-17,0
2.8078298718703112e-14,0
2.1014625583815526e-12,0
3.0273571786844026e-25,0
5.626804833840018e-08,0
0.0029125892315227182,0
4.5966755776231307e-17,0
3.1866926806440077e-23,0
1.0473124150687895e-17,0
2.2108324452396225e-13,0
9.393771493632951e-24,0
4.9165682835483875e-23,0
6.118416679764828e-18,0
0.014651539826213297,0
0.00028127167749629104,0
5.419877906404112e-10,0
4.118297447159477e-17,0
9.505422462686708e-13,0
1.0793178537255629e-16,0
4.405630892543397e-23,0
1.6665930292931897e-13,0
1.967146927260904e-14,0
2.6073098048998573e-12,0
4.85470188169108e-17,0
3.0379183282219392e-21,0
6.313921823998048e-13,0
4.761908240784394e-05,0
1.7645599697789587e-23,0
1.2250974005792018e-26,0
1.0111766201833834e-17,0
1.8393075618787102e-16,0
5.895977211903131e-16,0
4.591533663258245e-18,0
2.208768081584132e-15,0
4.404418786127898e-17,0
9.137326347449022e-19,0
3.4351952135654085e-21,0
4.365102455833416e-20,0
1.5104061255972586e-07,0
6.836112998455473e-25,0
9.915292795606702e-19,0
1.5510110318314458e-15,0
2.9753230053927134e-18,0
1.2682307463951186e-13,0
3.902698507269093e-16,0
9.69422204758069e-13,0
8.178088242926759e-16,0
8.231422285515203e-14,0
2.3414902726473015e-13,0
2.692873881892521e-11,0
4.6824525430137603e-20,0
3.9529234606213736e-27,0
8.632433601763061e-09,0
3.929870486155938e-17,0
1.1963263558755417e-15,0
1.60453909990482e-15,0
5.107846027637192e-10,0
1.7054837934998087e-20,0
1.6330321729946735e-14,0
1.514941189754028e-05,0
4.314502722211965e-19,0
9.881986529700456e-19,0
1.7125946907012647e-10,0
2.891963697453901e-11,0
6.261423957064616e-15,0
9.162713364816286e-15,0
4.184117486698963e-14,0
8.697950708182308e-18,0
9.549918279173661e-17,0
1.4361091137394664e-21,0
8.981734559712732e-10,0
1.0614199674792216e-11,0
1.1928541542916969e-08,0
2.069753668548997e-09,0
2.286014669198334e-18,0
1.3114410022337842e-15,0
3.649141618195402e-17,0
2.489407816454463e-16,0
5.713232103865472e-18,0
2.92191941831616e-20,0
9.603552634135404e-24,0
6.478181779663064e-16,0
8.744069647962836e-27,0
3.2989045971193925e-21,0
3.0404961268078712e-25,0
7.214527759450228e-11,0
7.483458529088854e-13,0
3.783939467935516e-11,0
2.7918248326610713e-11,0
2.5681148336751403e-19,0
5.773808796348777e-21,0
3.039359219463424e-17,0
8.381578625142677e-22,0
2.898571338415985e-19,0
2.5556192615765873e-18,0
2.4142972938237457e-12,0
1.8038213341246467e-25,0
3.742826769992415e-06,0
3.1278691746505183e-15,0
8.023358293535606e-10,0
2.534816115759109e-17,0
1.1868024832991146e-11,0
1.0418646721298775e-18,0
5.134784225077177e-19,0
8.764798198851824e-08,0
1.931734498530644e-13,0
1.2795440948200166e-18,0
2.073515097712448e-18,0
9.082936002480394e-15,0
1.3116878946397628e-08,0
5.7557679309131135e-21,0
2.444252697882509e-11,0
3.4262389004681523e-15,0
3.5150361723017033e-17,0
1.4248509235370124e-23,0
2.2725041981228483e-11,0
9.58463697099472e-22,0
5.436852037621819e-16,0
1.9715974487663633e-19,0
3.3745292631791117e-16,0
1.28801029165499e-16,0
3.294405878305813e-24,0
1.1799441744516906e-19,0
5.114332095599405e-16,0
4.187988420275454e-21,0
5.550793918838292e-06,0
1.338350049607759e-20,0
6.1891994884988306e-15,0
5.756265198926005e-20,0
1.5176869724855178e-16,0
7.547513752061223e-23,0
8.00568300642953e-13,0
1.1175698247310103e-07,0
1.0636938431403506e-05,0
2.8352392633115016e-14,0
1.6641479381260697e-21,0
2.5598057369327765e-19,0
8.353656060550093e-19,0
5.158077628371654e-17,0
3.399957400219721e-11,0
7.074285071933319e-14,0
6.37947729256092e-13,0
1.9454613188935986e-16,0
4.819625143050396e-15,0
2.222100054854165e-16,0
2.896566781498576e-20,0
6.005396890653593e-13,0
4.119666057922795e-16,0
1.1744883377882032e-22,0
4.580342529461951e-19,0
9.403514215395586e-10,0
1.4117653216646425e-13,0
6.423086367718209e-09,0
0.005956212862696697,0
1.3926839578364338e-13,0
1.702293484084338e-18,0
2.659276784133391e-19,0
6.738517735000091e-11,0
8.62339473851674e-17,0
4.8233969204020624e-08,0
3.3127291365221745e-21,0
3.842565510613705e-13,0
1.470688404240202e-16,0
1.3854614498129317e-18,0
4.382873393213274e-10,0
4.633818749508054e-18,0
8.111452435190824e-11,0
1.1488224263921592e-19,0
0.19792083387023165,0
8.291829188906061e-11,0
9.77738601209434e-18,0
1.8838585156017919e-19,0
1.5160619150251458e-13,0
1.1723456963910952e-21,0
1.9950497367398917e-23,0
1.9945260413065605e-07,0
1.0275533150492442e-19,0
4.5467959671023977e-14,0
4.4694084037956136e-13,0
6.100797698547667e-14,0
4.497238127119129e-13,0
4.3683221497494527e-16,0
2.0304822873666722e-10,0
1.0262635198055313e-21,0
6.006700693907313e-19,0
5.463442650558751e-15,0
1.8532701942274285e-25,0
5.1969842308961155e-14,0
7.212075258433542e-15,0
1.1631614515569411e-16,0
2.8102798746909944e-22,0
3.5158299362394517e-15,0
5.912877560906537e-19,0
1.933018127830419e-21,0
1.0334017725171604e-17,0
3.750028501516831e-13,0
2.419844115938867e-19,0
5.7162600600374805e-06,0
4.216125990114239e-15,0
6.537801962279044e-17,0
1.8849523003704285e-10,0
2.893478819141851e-13,0
0.926071368652752,1
2.4315549066920197e-19,0
2.081730972030757e-15,0
2.550037666565029e-11,0
3.009529870573938e-16,0
1.892606508538916e-15,0
5.381325704445852e-28,0
1.1023139313050938e-17,0
5.501862217826724e-23,0
4.216895119351946e-28,0
4.8703630255314475e-24,0
1.625945006773889e-25,0
1.6000054082767472e-18,0
1.4732946415201339e-24,0
2.432000644434035e-09,0
4.419392714655959e-24,0
1.7373515486037746e-15,0
1.616895606476458e-20,0
4.046366698114769e-17,0
1.652585169687636e-16,0
7.580984072535353e-16,0
9.819557004339225e-21,0
7.310865667877451e-15,0
2.054889070510745e-15,0
5.156210039246153e-12,0
2.1108356406942144e-15,0
0.09722953366057314,0
2.3971782644159086e-22,0
9.850874958371204e-13,0
3.679938387821068e-11,0
9.377114414755096e-17,0
4.9119720207641994e-20,0
2.3563077965697468e-08,0
1.2532740540923221e-14,0
9.612894136828326e-15,0
1.2786705645330727e-15,0
6.139952096504787e-11,0
5.3232354690828286e-14,0
1.3727466057358104e-18,0
5.996479656288866e-19,0
3.568104601052079e-20,0
1.135805854406415e-17,0
3.172020372318061e-12,0
6.07256013481001e-11,0
1.645379583330491e-15,0
4.54253122055304e-18,0
4.530754387461212e-12,0
1.1654657728901003e-22,0
1.4166414087837192e-13,0
7.270562166081286e-10,0
1.525889624314181e-19,0
1.2437454773155613e-15,0
1.5130001587472184e-15,0
2.915173128237106e-11,0
8.244563264127132e-18,0
1.7127388960481211e-09,0
1.0676494096655056e-13,0
1.815058830962146e-11,0
1.9831630313595938e-27,0
1.278185540476376e-12,0
8.989228504011734e-24,0
2.0967783106860395e-14,0
1.6144745046359007e-22,0
8.421113587037771e-14,0
2.739337426082099e-26,0
6.758519767500105e-09,0
1.8753979005000238e-19,0
2.3622267300929262e-12,0
7.868347557668704e-20,0
4.260588377202043e-11,0
1.894035047987335e-18,0
