customer_id,age,monthly_income,tenure_months,num_logins_last_month,avg_session_time,support_tickets,account_balance,last_payment_amount,gender,subscription_type,region,payment_method,is_active,preferred_device,churn
1,39.0,,76,42,30.297418713539173,0,70965.47905753035,47431.7575509641,Other,Enterprise,West,,Yes,Desktop,1
2,69.0,1352837.5428743078,46,27,50.66676566486348,3,62653.31670128711,26134.00930111092,Other,Basic,South,Debit Card,No,Mobile,1
3,,912795.6643577828,83,23,53.08683901846179,1,46918.41554759551,15390.195032668198,,Enterprise,West,,No,Mobile,0
4,79.0,795527.5067064395,45,23,55.1977736553424,1,22665.546093601504,41163.281717852726,Female,Premium,South,Debit Card,No,Tablet,1
5,52.0,442513.4532265317,98,29,67.78199868470911,3,58510.03676877102,14704.401068953088,Male,Basic,West,Credit Card,Yes,Mobile,0
6,58.0,1137540.7640935834,103,27,31.292818543135503,2,58536.06057220614,16592.146518127192,Other,Enterprise,North,Credit Card,Yes,Desktop,0
7,50.0,767906.5055922763,0,27,81.94961392695734,1,61334.83490890383,29511.518554875365,Male,Premium,South,Debit Card,No,Mobile,0
8,59.0,624998.3887835226,102,15,49.6328763319121,3,24087.875562345307,26844.490373448105,Male,Premium,West,Credit Card,No,Mobile,0
9,67.0,887774.6901741907,29,25,23.053434677942604,1,55497.24809097759,11701.30938707831,Female,Enterprise,North,PayPal,No,Tablet,0
10,42.0,1120576.1456429511,60,28,55.970617269729686,2,42781.34655851903,27439.267888044556,Other,Enterprise,South,Debit Card,Yes,Desktop,0
11,39.0,789494.9624615931,51,34,47.038968864348135,2,79505.38674038157,16369.37658008498,Other,Enterprise,North,Transfer,No,Mobile,1
12,37.0,1079413.9236643189,102,44,43.37163434380574,3,69604.59143386036,30232.682186880527,,Premium,North,Debit Card,No,Desktop,1
13,51.0,666902.6911035611,79,27,45.0092571170166,3,57254.83258997495,35915.057436646086,Male,Premium,North,PayPal,No,Desktop,0
14,,423586.0752833701,118,28,65.45336169677293,0,66250.52219987763,25551.91651555289,Other,Premium,East,PayPal,Yes,Tablet,1
15,48.0,652557.5369114871,61,20,67.24751817206057,3,40638.484726661976,11075.016971860105,Female,Premium,West,Transfer,No,Desktop,1
16,74.0,534646.4413389526,107,35,73.34486737799705,5,51402.63070716407,18949.958397633894,Other,Enterprise,South,Debit Card,Yes,Tablet,0
17,67.0,322510.62245730445,112,20,60.59849036018503,3,44936.36515343054,26888.53951632861,Female,Enterprise,South,Debit Card,Yes,Desktop,0
18,29.0,305660.1600259219,115,37,67.29224369797944,2,36083.01640648268,19697.678905549143,Female,Enterprise,North,Credit Card,Yes,Desktop,0
19,45.0,573550.515494127,33,36,58.9649049642122,0,27464.46835119164,15659.131970894938,Other,Basic,East,Debit Card,Yes,Mobile,0
20,23.0,911097.2997566336,116,30,500.0,2,44809.62687093249,19254.31562306163,Other,Premium,East,Credit Card,No,Desktop,0
21,38.0,1368504.7462836525,97,38,72.20277149196845,0,26738.73591518549,11385.211635312651,Other,Basic,East,PayPal,Yes,Desktop,1
22,32.0,845214.7226407652,62,27,500.0,2,77141.36218867588,17353.947704842263,Male,Basic,West,Debit Card,Yes,Desktop,1
